JAIME,Fuck loyalty? This goes beyond houses and honor and oaths. Talk to the queen.,"['fuck', 'loyalti', 'goe', 'beyond', 'hous', 'honor', 'oath', 'talk', 'queen']"
JAIME,And tell her what?,['tell']
DAVOS,I wish you hadn't done that.,"['wish', 'hadnt', 'done']"
DAENERYS,"I'm grateful for your loyalty, but my dragon died so that we could be here. If it's all for nothing, then he died for nothing.","['im', 'grate', 'loyalti', 'dragon', 'die', 'could', 'noth', 'die', 'noth']"
JON,I know!,['know']
TYRION,"I'm pleased you bent the knee to our queen. I would have advised it, had you asked. But have you ever considered learning how to lie every now and then? Just a bit?","['im', 'pleas', 'bent', 'knee', 'queen', 'would', 'advis', 'ask', 'ever', 'consid', 'learn', 'lie', 'everi', 'bit']"
JON,"I'm not going to swear an oath I can't uphold. Talk about my father if you want, tell me that's the attitude that got him killed. But when enough people make false promises, words stop meaning anything. Then there are no more answers, only better and better lies. And lies won't help us in this fight.","['im', 'go', 'swear', 'oath', 'cant', 'uphold', 'talk', 'father', 'want', 'tell', 'that', 'attitud', 'got', 'kill', 'enough', 'peopl', 'make', 'fals', 'promis', 'word', 'stop', 'mean', 'anyth', 'answer', 'better', 'better', 'lie', 'lie', 'wont', 'help', 'us', 'fight']"
TYRION,That is indeed a problem. The more immediate problem is that we're fucked.,"['inde', 'problem', 'immedi', 'problem', 'fuck']"
DAVOS,Any ideas as to how we might change that state of affairs?,"['idea', 'might', 'chang', 'state', 'affair']"
TYRION,"Only one. Everyone stays here, and I go and talk to my sister.","['one', 'everyon', 'stay', 'go', 'talk', 'sister']"
DAENERYS,I didn't come all this way to have my Hand murdered.,"['didnt', 'come', 'way', 'hand', 'murder']"
TYRION,I don't want Cersei to murder me either. I could have stayed in my cell and saved a great deal of trouble.,"['dont', 'want', 'cersei', 'murder', 'either', 'could', 'stay', 'cell', 'save', 'great', 'deal', 'troubl']"
JON,I did this. I should go.,['go']
TYRION,She'll definitely murder you. I go see my sister alone. Or we all go home and we're right back where we started.,"['shell', 'definit', 'murder', 'go', 'see', 'sister', 'alon', 'go', 'home', 'right', 'back', 'start']"
TYRION,You spoke with her?,['spoke']
